date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms
2025-06-03 07:00:00,2025-06-03,0.155772,0.019950,0.155034,0.055184,0.011602,0.217234,4.248527,2.100988,-0.061828,0.000000,0.000000,2,14,2025-05-19,2025-06-03,2025-03-30,2025-05-14,1748908800000,1747612800000,1748908800000,1743292800000,1747180800000
2025-06-13 07:00:00,2025-06-13,0.041229,0.005392,0.146617,0.063142,0.013109,0.216452,-2.438693,-4.660642,-0.069835,0.011054,0.001488,3,13,2025-05-29,2025-06-13,2025-04-09,2025-05-24,1749772800000,1748476800000,1749772800000,1744156800000,1748044800000
2025-06-23 07:00:00,2025-06-23,0.039508,0.004514,0.140908,0.074824,0.015011,0.212210,-3.712731,-6.104952,-0.071302,0.009648,0.001478,3,10,2025-06-08,2025-06-23,2025-04-19,2025-06-03,1750636800000,1749340800000,1750636800000,1745020800000,1748908800000
2025-07-03 07:00:00,2025-07-03,0.086657,0.007253,0.100119,0.074560,0.014091,0.199584,0.146385,-3.761892,-0.099466,0.021336,0.002260,3,11,2025-06-18,2025-07-03,2025-04-29,2025-06-13,1751500800000,1750204800000,1751500800000,1745884800000,1749772800000
2025-07-13 07:00:00,2025-07-13,0.103790,0.008225,0.093958,0.047604,0.006745,0.150307,3.080411,0.761482,-0.056350,0.052460,0.005802,7,11,2025-06-28,2025-07-13,2025-05-09,2025-06-23,1752364800000,1751068800000,1752364800000,1746748800000,1750636800000
2025-07-23 07:00:00,2025-07-23,0.124208,0.011066,0.099797,0.051413,0.005369,0.114375,3.839878,3.175632,-0.014578,0.052970,0.005712,7,11,2025-07-08,2025-07-23,2025-05-19,2025-07-03,1753228800000,1751932800000,1753228800000,1747612800000,1751500800000
2025-08-02 07:00:00,2025-08-02,0.134330,0.015672,0.136544,0.065888,0.005708,0.100795,3.255010,4.416746,0.035750,0.043273,0.005945,4,13,2025-07-18,2025-08-02,2025-05-29,2025-07-13,1754092800000,1752796800000,1754092800000,1748476800000,1752364800000
2025-08-12 07:00:00,2025-08-12,0.075486,0.015542,0.235367,0.098786,0.008339,0.093639,-1.172364,2.843632,0.141728,0.039252,0.006931,6,14,2025-07-28,2025-08-12,2025-06-08,2025-07-23,1754956800000,1753660800000,1754956800000,1749340800000,1753228800000
2025-08-22 07:00:00,2025-08-22,0.132480,0.015065,0.127656,0.114385,0.010623,0.101331,0.726582,1.674259,0.026325,0.074123,0.006965,7,12,2025-08-07,2025-08-22,2025-06-18,2025-08-02,1755820800000,1754524800000,1755820800000,1750204800000,1754092800000
2025-09-01 07:00:00,2025-09-01,0.147915,0.016753,0.132324,0.095623,0.011811,0.132443,1.857026,1.561608,-0.000119,0.054443,0.006258,5,17,2025-08-17,2025-09-01,2025-06-28,2025-08-12,1756684800000,1755388800000,1756684800000,1751068800000,1754956800000
2025-09-11 07:00:00,2025-09-11,0.130054,0.015452,0.140658,0.114959,0.013658,0.128109,0.336548,0.481313,0.012549,0.058119,0.006595,7,18,2025-08-27,2025-09-11,2025-07-08,2025-08-22,1757548800000,1756252800000,1757548800000,1751932800000,1755820800000
2025-09-21 07:00:00,2025-09-21,0.102517,0.015057,0.175952,0.116217,0.015333,0.143921,-0.892233,-0.235608,0.032031,0.045171,0.006201,8,17,2025-09-06,2025-09-21,2025-07-18,2025-09-01,1758412800000,1757116800000,1758412800000,1752796800000,1756684800000
2025-09-23 07:00:00,2025-09-23,0.102517,0.015057,0.175952,0.120534,0.015188,0.136958,-1.053329,-0.196793,0.038994,0.045171,0.006201,8,18,2025-09-08,2025-09-23,2025-07-20,2025-09-03,1758585600000,1757289600000,1758585600000,1752969600000,1756857600000
