date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms
2025-05-29 07:00:00,2025-05-29,0.150892,0.019154,0.157948,0.059690,0.013269,0.231290,3.746907,1.181508,-0.073803,0.000000,0.000000,2,11,2025-05-14,2025-05-29,2025-03-25,2025-05-09,1748476800000,1747180800000,1748476800000,1742860800000,1746748800000
2025-06-08 07:00:00,2025-06-08,0.055886,0.007564,0.146198,0.061858,0.013295,0.222759,-0.939825,-3.391717,-0.076562,0.052196,0.006757,5,12,2025-05-24,2025-06-08,2025-04-04,2025-05-19,1749340800000,1748044800000,1749340800000,1743724800000,1747612800000
2025-06-18 07:00:00,2025-06-18,0.046881,0.005126,0.116090,0.069341,0.014186,0.213645,-2.211826,-5.174640,-0.097554,0.022316,0.002720,6,11,2025-06-03,2025-06-18,2025-04-14,2025-05-29,1750204800000,1748908800000,1750204800000,1744588800000,1748476800000
2025-06-28 07:00:00,2025-06-28,0.056355,0.005149,0.104974,0.069121,0.013092,0.198103,-1.648014,-4.863469,-0.093129,0.026067,0.002390,4,12,2025-06-13,2025-06-28,2025-04-24,2025-06-08,1751068800000,1749772800000,1751068800000,1745452800000,1749340800000
2025-07-08 07:00:00,2025-07-08,0.086380,0.007944,0.104952,0.067029,0.010435,0.165684,0.608329,-1.786140,-0.060733,0.041947,0.004721,4,13,2025-06-23,2025-07-08,2025-05-04,2025-06-18,1751932800000,1750636800000,1751932800000,1746316800000,1750204800000
2025-07-18 07:00:00,2025-07-18,0.105647,0.009409,0.097086,0.056750,0.005957,0.110963,2.463435,1.704395,-0.013877,0.043904,0.004929,5,9,2025-07-03,2025-07-18,2025-05-14,2025-06-28,1752796800000,1751500800000,1752796800000,1747180800000,1751068800000
2025-07-28 07:00:00,2025-07-28,0.127659,0.012129,0.106276,0.064814,0.006415,0.104271,2.995406,2.534969,0.002004,0.042603,0.004455,4,12,2025-07-13,2025-07-28,2025-05-24,2025-07-08,1753660800000,1752364800000,1753660800000,1748044800000,1751932800000
2025-08-07 07:00:00,2025-08-07,0.102861,0.017357,0.189064,0.070242,0.006363,0.095836,1.815805,4.732896,0.093228,0.043752,0.007195,6,14,2025-07-23,2025-08-07,2025-06-03,2025-07-18,1754524800000,1753228800000,1754524800000,1748908800000,1752796800000
2025-08-17 07:00:00,2025-08-17,0.084339,0.015937,0.207004,0.088161,0.007970,0.094269,-0.021918,3.470922,0.112735,0.056900,0.007566,8,14,2025-08-02,2025-08-17,2025-06-13,2025-07-28,1755388800000,1754092800000,1755388800000,1749772800000,1753660800000
2025-08-27 07:00:00,2025-08-27,0.124632,0.014952,0.137224,0.096140,0.010876,0.116783,1.043942,1.569316,0.020440,0.051143,0.006476,6,15,2025-08-12,2025-08-27,2025-06-23,2025-08-07,1756252800000,1754956800000,1756252800000,1750636800000,1754524800000
2025-09-06 07:00:00,2025-09-06,0.117079,0.015901,0.156446,0.100251,0.012964,0.134945,0.542769,0.933030,0.021502,0.045789,0.006670,5,17,2025-08-22,2025-09-06,2025-07-03,2025-08-17,1757116800000,1755820800000,1757116800000,1751500800000,1755388800000
2025-09-16 07:00:00,2025-09-16,0.101064,0.014375,0.170429,0.104227,0.014524,0.148215,-0.444885,-0.196441,0.022214,0.045754,0.006289,6,16,2025-09-01,2025-09-16,2025-07-13,2025-08-27,1757980800000,1756684800000,1757980800000,1752364800000,1756252800000
2025-09-18 07:00:00,2025-09-18,0.101064,0.014375,0.170429,0.104358,0.014774,0.149873,-0.462666,-0.290272,0.020556,0.045754,0.006289,6,18,2025-09-03,2025-09-18,2025-07-15,2025-08-29,1758153600000,1756857600000,1758153600000,1752537600000,1756425600000
