date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms
2025-05-29 07:00:00,2025-05-29,0.157985,0.019313,0.152153,0.059229,0.013755,0.241475,3.951515,1.110837,-0.089834,0.000000,0.000000,2,11,2025-05-14,2025-05-29,2025-03-25,2025-05-09,1748476800000,1747180800000,1748476800000,1742860800000,1746748800000
2025-06-08 07:00:00,2025-06-08,0.055187,0.007078,0.142126,0.061243,0.013724,0.231953,-0.978793,-3.659959,-0.089827,0.055503,0.007030,5,12,2025-05-24,2025-06-08,2025-04-04,2025-05-19,1749340800000,1748044800000,1749340800000,1743724800000,1747612800000
2025-06-18 07:00:00,2025-06-18,0.045344,0.004595,0.111055,0.068812,0.014465,0.220530,-2.258467,-5.515630,-0.109475,0.022821,0.002642,6,11,2025-06-03,2025-06-18,2025-04-14,2025-05-29,1750204800000,1748908800000,1750204800000,1744588800000,1748476800000
2025-06-28 07:00:00,2025-06-28,0.054695,0.004508,0.099675,0.068427,0.013246,0.203626,-1.790824,-5.352808,-0.103951,0.026377,0.002160,4,12,2025-06-13,2025-06-28,2025-04-24,2025-06-08,1751068800000,1749772800000,1751068800000,1745452800000,1749340800000
2025-07-08 07:00:00,2025-07-08,0.084214,0.007249,0.098731,0.065908,0.010287,0.169065,0.513219,-2.208186,-0.070334,0.041940,0.004431,4,13,2025-06-23,2025-07-08,2025-05-04,2025-06-18,1751932800000,1750636800000,1751932800000,1746316800000,1750204800000
2025-07-18 07:00:00,2025-07-18,0.103243,0.008733,0.092283,0.055831,0.005403,0.106139,2.444872,1.702867,-0.013857,0.042201,0.004801,5,9,2025-07-03,2025-07-18,2025-05-14,2025-06-28,1752796800000,1751500800000,1752796800000,1747180800000,1751068800000
2025-07-28 07:00:00,2025-07-28,0.121809,0.011701,0.106381,0.063670,0.005821,0.099174,2.885644,2.707108,0.007207,0.042258,0.004424,4,12,2025-07-13,2025-07-28,2025-05-24,2025-07-08,1753660800000,1752364800000,1753660800000,1748044800000,1751932800000
2025-08-07 07:00:00,2025-08-07,0.097385,0.016362,0.189221,0.068988,0.005720,0.090392,1.642596,4.770003,0.098829,0.042159,0.006871,6,14,2025-07-23,2025-08-07,2025-06-03,2025-07-18,1754524800000,1753228800000,1754524800000,1748908800000,1752796800000
2025-08-17 07:00:00,2025-08-17,0.079953,0.014793,0.206540,0.085757,0.007243,0.088447,-0.171465,3.472244,0.118093,0.055495,0.007077,8,14,2025-08-02,2025-08-17,2025-06-13,2025-07-28,1755388800000,1754092800000,1755388800000,1749772800000,1753660800000
2025-08-27 07:00:00,2025-08-27,0.125814,0.014140,0.128798,0.093074,0.010162,0.112642,1.219935,1.619200,0.016157,0.050409,0.006413,6,15,2025-08-12,2025-08-27,2025-06-23,2025-08-07,1756252800000,1754956800000,1756252800000,1750636800000,1754524800000
2025-09-06 07:00:00,2025-09-06,0.120393,0.015217,0.145184,0.096451,0.012128,0.131416,0.833476,1.013639,0.013768,0.046801,0.006371,5,17,2025-08-22,2025-09-06,2025-07-03,2025-08-17,1757116800000,1755820800000,1757116800000,1751500800000,1755388800000
2025-09-16 07:00:00,2025-09-16,0.104355,0.013760,0.157973,0.101305,0.013767,0.145773,-0.180041,-0.149876,0.012200,0.047218,0.006054,6,16,2025-09-01,2025-09-16,2025-07-13,2025-08-27,1757980800000,1756684800000,1757980800000,1752364800000,1756252800000
2025-09-18 07:00:00,2025-09-18,0.104355,0.013760,0.157973,0.101616,0.014007,0.147149,-0.204973,-0.243793,0.010823,0.047218,0.006054,6,18,2025-09-03,2025-09-18,2025-07-15,2025-08-29,1758153600000,1756857600000,1758153600000,1752537600000,1756425600000
