date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms
2025-05-29 07:00:00,2025-05-29,0.162473,0.020009,0.151431,0.056922,0.012806,0.233033,4.264917,1.622364,-0.081958,0.000000,0.000000,2,11,2025-05-14,2025-05-29,2025-03-25,2025-05-09,1748476800000,1747180800000,1748476800000,1742860800000,1746748800000
2025-06-08 07:00:00,2025-06-08,0.054556,0.007031,0.143318,0.059618,0.012852,0.223170,-0.930725,-3.456117,-0.079852,0.057501,0.007267,5,12,2025-05-24,2025-06-08,2025-04-04,2025-05-19,1749340800000,1748044800000,1749340800000,1743724800000,1747612800000
2025-06-18 07:00:00,2025-06-18,0.044273,0.004823,0.118171,0.068734,0.013899,0.212712,-2.415961,-5.302971,-0.094541,0.020924,0.002707,6,11,2025-06-03,2025-06-18,2025-04-14,2025-05-29,1750204800000,1748908800000,1750204800000,1744588800000,1748476800000
2025-06-28 07:00:00,2025-06-28,0.053042,0.005002,0.109445,0.068796,0.012835,0.196853,-1.924562,-4.996619,-0.087408,0.027811,0.002451,4,12,2025-06-13,2025-06-28,2025-04-24,2025-06-08,1751068800000,1749772800000,1751068800000,1745452800000,1749340800000
2025-07-08 07:00:00,2025-07-08,0.089217,0.007593,0.098252,0.064953,0.009997,0.165609,0.873072,-1.872280,-0.067357,0.045274,0.004949,4,13,2025-06-23,2025-07-08,2025-05-04,2025-06-18,1751932800000,1750636800000,1751932800000,1746316800000,1750204800000
2025-07-18 07:00:00,2025-07-18,0.112940,0.009608,0.095293,0.054393,0.005700,0.112433,3.054275,2.221633,-0.017141,0.044835,0.004958,5,9,2025-07-03,2025-07-18,2025-05-14,2025-06-28,1752796800000,1751500800000,1752796800000,1747180800000,1751068800000
2025-07-28 07:00:00,2025-07-28,0.126386,0.012227,0.110435,0.063864,0.006110,0.101978,2.996656,3.002621,0.008457,0.042344,0.004482,4,12,2025-07-13,2025-07-28,2025-05-24,2025-07-08,1753660800000,1752364800000,1753660800000,1748044800000,1751932800000
2025-08-07 07:00:00,2025-08-07,0.092117,0.016127,0.200719,0.071117,0.006111,0.093380,1.193523,4.494574,0.107339,0.042457,0.006720,6,14,2025-07-23,2025-08-07,2025-06-03,2025-07-18,1754524800000,1753228800000,1754524800000,1748908800000,1752796800000
2025-08-17 07:00:00,2025-08-17,0.076461,0.015454,0.225035,0.091148,0.007831,0.091621,-0.686763,3.261174,0.133414,0.055426,0.007755,8,14,2025-08-02,2025-08-17,2025-06-13,2025-07-28,1755388800000,1754092800000,1755388800000,1749772800000,1753660800000
2025-08-27 07:00:00,2025-08-27,0.125782,0.015701,0.144505,0.095756,0.010698,0.117601,1.078071,1.694926,0.026904,0.050964,0.007088,6,15,2025-08-12,2025-08-27,2025-06-23,2025-08-07,1756252800000,1754956800000,1756252800000,1750636800000,1754524800000
2025-09-06 07:00:00,2025-09-06,0.118333,0.015926,0.157171,0.097941,0.012773,0.137884,0.650148,0.913968,0.019287,0.046932,0.006710,5,17,2025-08-22,2025-09-06,2025-07-03,2025-08-17,1757116800000,1755820800000,1757116800000,1751500800000,1755388800000
2025-09-16 07:00:00,2025-09-16,0.100783,0.013666,0.164696,0.099978,0.014379,0.155719,-0.375746,-0.510004,0.008977,0.047931,0.006201,6,16,2025-09-01,2025-09-16,2025-07-13,2025-08-27,1757980800000,1756684800000,1757980800000,1752364800000,1756252800000
2025-09-18 07:00:00,2025-09-18,0.100783,0.013666,0.164696,0.100073,0.014559,0.156969,-0.388688,-0.580260,0.007727,0.047931,0.006201,6,18,2025-09-03,2025-09-18,2025-07-15,2025-08-29,1758153600000,1756857600000,1758153600000,1752537600000,1756425600000
