date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms
2025-06-08 07:00:00,2025-06-08,0.071190,0.010744,0.172918,0.060102,0.011996,0.207593,0.213092,-1.040190,-0.034675,0.047845,0.006526,3,11,2025-05-24,2025-06-08,2025-04-04,2025-05-19,1749340800000,1748044800000,1749340800000,1743724800000,1747612800000
2025-06-18 07:00:00,2025-06-18,0.050715,0.006260,0.133477,0.073798,0.013586,0.194061,-1.858909,-3.654956,-0.060584,0.025050,0.004012,4,9,2025-06-03,2025-06-18,2025-04-14,2025-05-29,1750204800000,1748908800000,1750204800000,1744588800000,1748476800000
2025-06-28 07:00:00,2025-06-28,0.054577,0.005054,0.102117,0.078099,0.013679,0.186142,-2.001791,-4.897451,-0.084025,0.027793,0.003167,3,9,2025-06-13,2025-06-28,2025-04-24,2025-06-08,1751068800000,1749772800000,1751068800000,1745452800000,1749340800000
2025-07-08 07:00:00,2025-07-08,0.086081,0.008863,0.111108,0.075095,0.011321,0.160065,0.335136,-1.549965,-0.048957,0.039238,0.004307,3,9,2025-06-23,2025-07-08,2025-05-04,2025-06-18,1751932800000,1750636800000,1751932800000,1746316800000,1750204800000
2025-07-18 07:00:00,2025-07-18,0.123061,0.011489,0.103017,0.063209,0.007431,0.127293,3.013862,1.773780,-0.024276,0.039758,0.004986,4,6,2025-07-03,2025-07-18,2025-05-14,2025-06-28,1752796800000,1751500800000,1752796800000,1747180800000,1751068800000
2025-07-28 07:00:00,2025-07-28,0.131402,0.014001,0.122330,0.068887,0.007754,0.119204,2.840018,2.563496,0.003126,0.043933,0.005104,3,8,2025-07-13,2025-07-28,2025-05-24,2025-07-08,1753660800000,1752364800000,1753660800000,1748044800000,1751932800000
2025-08-07 07:00:00,2025-08-07,0.085207,0.017689,0.239150,0.078057,0.007984,0.106165,0.320748,3.639061,0.132985,0.044762,0.007104,4,10,2025-07-23,2025-08-07,2025-06-03,2025-07-18,1754524800000,1753228800000,1754524800000,1748908800000,1752796800000
2025-08-17 07:00:00,2025-08-17,0.069925,0.016219,0.255880,0.098338,0.009427,0.101688,-1.650512,2.555338,0.154192,0.063736,0.007014,6,10,2025-08-02,2025-08-17,2025-06-13,2025-07-28,1755388800000,1754092800000,1755388800000,1749772800000,1753660800000
2025-08-27 07:00:00,2025-08-27,0.141096,0.016499,0.129153,0.099905,0.012362,0.132347,1.420276,1.338152,-0.003194,0.060785,0.006569,5,11,2025-08-12,2025-08-27,2025-06-23,2025-08-07,1756252800000,1754956800000,1756252800000,1750636800000,1754524800000
2025-09-06 07:00:00,2025-09-06,0.128606,0.017001,0.150038,0.102562,0.014294,0.150131,0.817379,0.705461,-0.000093,0.055665,0.006509,4,13,2025-08-22,2025-09-06,2025-07-03,2025-08-17,1757116800000,1755820800000,1757116800000,1751500800000,1755388800000
2025-09-16 07:00:00,2025-09-16,0.115477,0.016644,0.167883,0.103826,0.015669,0.159880,0.271110,0.189826,0.008003,0.054637,0.006319,5,13,2025-09-01,2025-09-16,2025-07-13,2025-08-27,1757980800000,1756684800000,1757980800000,1752364800000,1756252800000
2025-09-26 07:00:00,2025-09-26,0.088464,0.017299,0.231933,0.103881,0.016243,0.167957,-0.917926,0.179804,0.063976,0.036461,0.006708,5,13,2025-09-11,2025-09-26,2025-07-23,2025-09-06,1758844800000,1757548800000,1758844800000,1753228800000,1757116800000
2025-09-28 07:00:00,2025-09-28,0.090024,0.017565,0.223958,0.102466,0.016385,0.172906,-0.682780,0.247315,0.051052,0.037493,0.007399,6,13,2025-09-13,2025-09-28,2025-07-25,2025-09-08,1759017600000,1757721600000,1759017600000,1753401600000,1757289600000
