date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,acq_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms,acq_local
2025-06-29,2025-07-01,0.085835,0.006528,0.084050,0.083438,0.012518,0.158533,-0.348768,-3.357052,-0.074483,0.040281,0.003531,4,8,2025-06-16,2025-07-01,2025-04-27,2025-06-11,1751328000000,1751195436000,1750032000000,1751328000000,1745712000000,1749600000000,2025-06-29
2025-07-11,2025-07-11,0.125724,0.011204,0.099089,0.065342,0.007226,0.122410,2.827847,1.660069,-0.023321,0.054004,0.005634,5,7,2025-06-26,2025-07-11,2025-05-07,2025-06-21,1752192000000,1752232237000,1750896000000,1752192000000,1746576000000,1750464000000,2025-07-11
2025-07-17,2025-07-21,0.142564,0.012962,0.110243,0.076225,0.006524,0.095015,2.781272,2.869597,0.015228,0.043648,0.004590,3,7,2025-07-06,2025-07-21,2025-05-17,2025-07-01,1753056000000,1752750725000,1751760000000,1753056000000,1747440000000,1751328000000,2025-07-17
2025-07-29,2025-07-31,0.130049,0.016026,0.147025,0.089649,0.007874,0.094164,1.585539,3.325430,0.052862,0.050024,0.006729,4,9,2025-07-16,2025-07-31,2025-05-27,2025-07-11,1753920000000,1753787525000,1752624000000,1753920000000,1748304000000,1752192000000,2025-07-29
2025-08-10,2025-08-10,0.062157,0.017144,0.315772,0.111398,0.009626,0.092096,-2.742027,2.803280,0.223676,0.036331,0.007986,5,8,2025-07-26,2025-08-10,2025-06-06,2025-07-21,1754784000000,1754824325000,1753488000000,1754784000000,1749168000000,1753056000000,2025-08-10
2025-08-16,2025-08-20,0.095569,0.016571,0.187511,0.114064,0.011296,0.107366,-0.840475,1.697236,0.080145,0.064370,0.007529,4,11,2025-08-05,2025-08-20,2025-06-16,2025-07-31,1755648000000,1755342639000,1754352000000,1755648000000,1750032000000,1753920000000,2025-08-16
2025-08-28,2025-08-30,0.125396,0.017774,0.159297,0.101461,0.013684,0.145954,0.807560,1.113909,0.013343,0.056949,0.007657,6,13,2025-08-15,2025-08-30,2025-06-26,2025-08-10,1756512000000,1756379439000,1755216000000,1756512000000,1750896000000,1754784000000,2025-08-28
2025-09-09,2025-09-09,0.101722,0.014922,0.173337,0.105466,0.015058,0.156697,-0.459800,-0.236724,0.016640,0.054729,0.007446,5,12,2025-08-25,2025-09-09,2025-07-06,2025-08-20,1757376000000,1757416240000,1756080000000,1757376000000,1751760000000,1755648000000,2025-09-09
2025-09-15,2025-09-19,0.094092,0.013424,0.173894,0.101453,0.016394,0.175463,-1.020132,-1.657155,-0.001568,0.038469,0.005038,4,14,2025-09-04,2025-09-19,2025-07-16,2025-08-30,1758240000000,1757934725000,1756944000000,1758240000000,1752624000000,1756512000000,2025-09-15
2025-09-27,2025-09-29,0.091250,0.013317,0.190828,0.095616,0.016264,0.186597,-0.986037,-1.653570,0.004231,0.041782,0.005584,6,14,2025-09-14,2025-09-29,2025-07-26,2025-09-09,1759104000000,1758971525000,1757808000000,1759104000000,1753488000000,1757376000000,2025-09-27
2025-10-09,2025-10-09,0.088318,0.014874,0.246266,0.100778,0.015504,0.171775,-1.336818,-0.511173,0.074491,0.045543,0.006518,6,13,2025-09-24,2025-10-09,2025-08-05,2025-09-19,1759968000000,1760008326000,1758672000000,1759968000000,1754352000000,1758240000000,2025-10-09
2025-10-15,2025-10-19,0.076381,0.016388,0.331673,0.099572,0.013824,0.157632,-1.903791,0.692567,0.174041,0.031566,0.006428,4,15,2025-10-04,2025-10-19,2025-08-15,2025-09-29,1760832000000,1760526640000,1759536000000,1760832000000,1755216000000,1759104000000,2025-10-15
2025-10-21,2025-10-20,0.075963,0.016972,0.333331,0.097505,0.013624,0.159671,-1.673668,0.968709,0.173660,0.036362,0.007408,5,14,2025-10-05,2025-10-20,2025-08-16,2025-09-30,1760918400000,1761000329000,1759622400000,1760918400000,1755302400000,1759190400000,2025-10-21
