date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,acq_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms,acq_local
2025-06-29,2025-07-01,0.060759,0.004305,0.076413,0.078495,0.013748,0.185303,-1.369371,-5.512335,-0.108890,0.040889,0.002264,4,8,2025-06-16,2025-07-01,2025-04-27,2025-06-11,1751328000000,1751195461000,1750032000000,1751328000000,1745712000000,1749600000000,2025-06-29
2025-07-11,2025-07-11,0.127802,0.007759,0.069348,0.050130,0.006592,0.136279,3.933236,0.737962,-0.066931,0.063557,0.004989,5,7,2025-06-26,2025-07-11,2025-05-07,2025-06-21,1752192000000,1752232262000,1750896000000,1752192000000,1746576000000,1750464000000,2025-07-11
2025-07-17,2025-07-21,0.144355,0.010440,0.086463,0.055726,0.004832,0.092909,4.088246,3.440653,-0.006446,0.044406,0.004018,3,7,2025-07-06,2025-07-21,2025-05-17,2025-07-01,1753056000000,1752750725000,1751760000000,1753056000000,1747440000000,1751328000000,2025-07-17
2025-07-29,2025-07-31,0.142995,0.015194,0.121121,0.077579,0.005696,0.082362,2.771162,4.501445,0.038759,0.051185,0.006802,4,9,2025-07-16,2025-07-31,2025-05-27,2025-07-11,1753920000000,1753787525000,1752624000000,1753920000000,1748304000000,1752192000000,2025-07-29
2025-08-10,2025-08-10,0.068118,0.016132,0.274349,0.106998,0.006698,0.070293,-2.036007,4.041234,0.204056,0.038352,0.007278,5,8,2025-07-26,2025-08-10,2025-06-06,2025-07-21,1754784000000,1754824325000,1753488000000,1754784000000,1749168000000,1753056000000,2025-08-10
2025-08-16,2025-08-20,0.105058,0.015614,0.164737,0.114942,0.009004,0.085080,-0.385576,2.487448,0.079656,0.077901,0.006343,4,11,2025-08-05,2025-08-20,2025-06-16,2025-07-31,1755648000000,1755342664000,1754352000000,1755648000000,1750032000000,1753920000000,2025-08-16
2025-08-28,2025-08-30,0.160408,0.016673,0.119021,0.105621,0.012244,0.123946,1.745893,1.340762,-0.004926,0.066621,0.006740,6,13,2025-08-15,2025-08-30,2025-06-26,2025-08-10,1756512000000,1756379464000,1755216000000,1756512000000,1750896000000,1754784000000,2025-08-28
2025-09-09,2025-09-09,0.137468,0.016021,0.144375,0.115796,0.014061,0.131495,0.441274,0.464268,0.012880,0.060859,0.006403,5,12,2025-08-25,2025-09-09,2025-07-06,2025-08-20,1757376000000,1757416265000,1756080000000,1757376000000,1751760000000,1755648000000,2025-09-09
2025-09-15,2025-09-19,0.116525,0.016153,0.176594,0.121836,0.015581,0.139888,-0.688161,-0.096329,0.036706,0.043166,0.005669,4,14,2025-09-04,2025-09-19,2025-07-16,2025-08-30,1758240000000,1757934725000,1756944000000,1758240000000,1752624000000,1756512000000,2025-09-15
2025-09-27,2025-09-29,0.083633,0.015135,0.219154,0.118333,0.015763,0.149084,-1.845616,-0.413215,0.070070,0.041523,0.006279,6,14,2025-09-14,2025-09-29,2025-07-26,2025-09-09,1759104000000,1758971525000,1757808000000,1759104000000,1753488000000,1757376000000,2025-09-27
2025-10-09,2025-10-09,0.062045,0.013462,0.285020,0.127056,0.015507,0.139750,-3.496197,-0.763388,0.145270,0.037362,0.006244,6,13,2025-09-24,2025-10-09,2025-08-05,2025-09-19,1759968000000,1760008326000,1758672000000,1759968000000,1754352000000,1758240000000,2025-10-09
2025-10-15,2025-10-19,0.055809,0.014093,0.375796,0.117394,0.015138,0.147979,-4.101025,-0.491952,0.227817,0.025181,0.005645,4,15,2025-10-04,2025-10-19,2025-08-15,2025-09-29,1760832000000,1760526665000,1759536000000,1760832000000,1755216000000,1759104000000,2025-10-15
2025-10-21,2025-10-20,0.058519,0.015081,0.373191,0.113973,0.015085,0.152433,-3.665907,-0.179477,0.220759,0.038755,0.008341,5,14,2025-10-05,2025-10-20,2025-08-16,2025-09-30,1760918400000,1761000329000,1759622400000,1760918400000,1755302400000,1759190400000,2025-10-21
