date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms
2025-06-03 07:00:00,2025-06-03,0.218711,0.022128,0.123849,0.065805,0.009859,0.157348,4.961366,3.242908,-0.033499,,,1,13,2025-05-19,2025-06-03,2025-03-30,2025-05-14,1748908800000,1747612800000,1748908800000,1743292800000,1747180800000
2025-06-13 07:00:00,2025-06-13,0.037226,0.003307,0.101415,0.080075,0.011403,0.152478,-4.133434,-6.390405,-0.051063,0.013332,0.001084,2,11,2025-05-29,2025-06-13,2025-04-09,2025-05-24,1749772800000,1748476800000,1749772800000,1744156800000,1748044800000
2025-06-23 07:00:00,2025-06-23,0.046248,0.003663,0.104149,0.103672,0.013893,0.144008,-4.480825,-6.602004,-0.039859,0.010866,0.001351,2,8,2025-06-08,2025-06-23,2025-04-19,2025-06-03,1750636800000,1749340800000,1750636800000,1745020800000,1748908800000
2025-07-03 07:00:00,2025-07-03,0.088403,0.006648,0.096122,0.098356,0.012394,0.136854,-0.759643,-3.529545,-0.040732,0.021750,0.001931,2,8,2025-06-18,2025-07-03,2025-04-29,2025-06-13,1751500800000,1750204800000,1751500800000,1745884800000,1749772800000
2025-07-13 07:00:00,2025-07-13,0.094228,0.007676,0.092304,0.051743,0.004719,0.101933,2.724790,2.162090,-0.009629,0.041501,0.004081,5,7,2025-06-28,2025-07-13,2025-05-09,2025-06-23,1752364800000,1751068800000,1752364800000,1746748800000,1750636800000
2025-07-23 07:00:00,2025-07-23,0.103742,0.010657,0.112721,0.054029,0.004431,0.091757,3.124224,4.197608,0.020964,0.042623,0.005151,5,7,2025-07-08,2025-07-23,2025-05-19,2025-07-03,1753228800000,1751932800000,1753228800000,1747612800000,1751500800000
2025-08-02 07:00:00,2025-08-02,0.098034,0.015336,0.180011,0.063304,0.004930,0.082703,1.816019,5.158983,0.097308,0.033829,0.005385,3,9,2025-07-18,2025-08-02,2025-05-29,2025-07-13,1754092800000,1752796800000,1754092800000,1748476800000,1752364800000
2025-08-12 07:00:00,2025-08-12,0.059296,0.014704,0.293061,0.086472,0.007860,0.096602,-1.940895,2.757171,0.196458,0.028158,0.006352,5,10,2025-07-28,2025-08-12,2025-06-08,2025-07-23,1754956800000,1753660800000,1754956800000,1749340800000,1753228800000
2025-08-22 07:00:00,2025-08-22,0.097368,0.014530,0.162556,0.094636,0.009761,0.111504,0.120789,1.850933,0.051052,0.054380,0.008017,6,9,2025-08-07,2025-08-22,2025-06-18,2025-08-02,1755820800000,1754524800000,1755820800000,1750204800000,1754092800000
2025-09-01 07:00:00,2025-09-01,0.103179,0.015354,0.166280,0.080916,0.010843,0.142608,0.981365,1.530431,0.023671,0.040602,0.006728,4,13,2025-08-17,2025-09-01,2025-06-28,2025-08-12,1756684800000,1755388800000,1756684800000,1751068800000,1754956800000
2025-09-11 07:00:00,2025-09-11,0.102002,0.017823,0.194077,0.089767,0.013067,0.153527,0.465274,1.197568,0.040550,0.044876,0.007696,5,14,2025-08-27,2025-09-11,2025-07-08,2025-08-22,1757548800000,1756252800000,1757548800000,1751932800000,1755820800000
2025-09-21 07:00:00,2025-09-21,0.088258,0.017863,0.227277,0.085357,0.014560,0.181361,-0.185243,0.567733,0.045915,0.041752,0.009127,6,13,2025-09-06,2025-09-21,2025-07-18,2025-09-01,1758412800000,1757116800000,1758412800000,1752796800000,1756684800000
2025-09-23 07:00:00,2025-09-23,0.088258,0.017863,0.227277,0.088903,0.014556,0.173878,-0.365918,0.560463,0.053398,0.041752,0.009127,6,14,2025-09-08,2025-09-23,2025-07-20,2025-09-03,1758585600000,1757289600000,1758585600000,1752969600000,1756857600000
