date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms
2025-06-13 07:00:00,2025-06-13,0.124685,0.004224,0.037030,0.060093,0.008359,0.139421,3.050211,-2.804563,-0.102391,0.032248,0.001309,2,11,2025-05-29,2025-06-13,2025-04-09,2025-05-24,1749772800000,1748476800000,1749772800000,1744156800000,1748044800000
2025-06-23 07:00:00,2025-06-23,0.249794,0.010410,0.048780,0.046086,0.004944,0.109365,7.372010,3.592422,-0.060585,0.062443,0.002641,2,8,2025-06-08,2025-06-23,2025-04-19,2025-06-03,1750636800000,1749340800000,1750636800000,1745020800000,1748908800000
2025-07-03 07:00:00,2025-07-03,0.166010,0.015672,0.113394,0.050523,0.003269,0.068763,4.942336,6.851141,0.044631,0.043193,0.003604,2,8,2025-06-18,2025-07-03,2025-04-29,2025-06-13,1751500800000,1750204800000,1751500800000,1745884800000,1749772800000
2025-07-13 07:00:00,2025-07-13,0.149703,0.018189,0.138512,0.092756,0.003658,0.044900,2.118865,7.159341,0.093612,0.056834,0.007859,5,7,2025-06-28,2025-07-13,2025-05-09,2025-06-23,1752364800000,1751068800000,1752364800000,1746748800000,1750636800000
2025-07-23 07:00:00,2025-07-23,0.119663,0.022400,0.206716,0.145631,0.007647,0.057225,-0.957934,4.758854,0.149491,0.056162,0.011079,5,7,2025-07-08,2025-07-23,2025-05-19,2025-07-03,1753228800000,1751932800000,1753228800000,1747612800000,1751500800000
2025-08-02 07:00:00,2025-08-02,0.123277,0.030646,0.284718,0.153507,0.012649,0.087695,-1.224100,3.555882,0.197024,0.048507,0.012923,3,9,2025-07-18,2025-08-02,2025-05-29,2025-07-13,1754092800000,1752796800000,1754092800000,1748476800000,1752364800000
2025-08-12 07:00:00,2025-08-12,0.104056,0.027593,0.287630,0.145260,0.017601,0.131234,-1.410369,1.836781,0.156396,0.048904,0.013710,5,10,2025-07-28,2025-08-12,2025-06-08,2025-07-23,1754956800000,1753660800000,1754956800000,1749340800000,1753228800000
2025-08-22 07:00:00,2025-08-22,0.141821,0.030302,0.223154,0.131539,0.020949,0.173901,0.449417,1.556305,0.049253,0.059081,0.013192,6,9,2025-08-07,2025-08-22,2025-06-18,2025-08-02,1755820800000,1754524800000,1755820800000,1750204800000,1754092800000
2025-09-01 07:00:00,2025-09-01,0.140092,0.030083,0.223316,0.118278,0.021880,0.196314,0.730341,1.183876,0.027002,0.048954,0.011411,4,13,2025-08-17,2025-09-01,2025-06-28,2025-08-12,1756684800000,1755388800000,1756684800000,1751068800000,1754956800000
2025-09-11 07:00:00,2025-09-11,0.043529,0.006386,0.155301,0.118903,0.025304,0.219000,-5.620766,-7.990617,-0.063699,0.064262,0.013588,5,14,2025-08-27,2025-09-11,2025-07-08,2025-08-22,1757548800000,1756252800000,1757548800000,1751932800000,1755820800000
2025-09-21 07:00:00,2025-09-21,0.008690,0.000781,0.091658,0.119254,0.026948,0.231875,-11.462568,-16.006135,-0.140217,0.004453,0.000694,6,13,2025-09-06,2025-09-21,2025-07-18,2025-09-01,1758412800000,1757116800000,1758412800000,1752796800000,1756684800000
2025-10-01 07:00:00,2025-10-01,0.009409,0.000965,0.106306,0.103516,0.022946,0.227398,-10.499948,-14.486962,-0.121092,0.004028,0.000801,4,14,2025-09-16,2025-10-01,2025-07-28,2025-09-11,1759276800000,1757980800000,1759276800000,1753660800000,1757548800000
2025-10-02 07:00:00,2025-10-02,0.008546,0.000871,0.105701,0.103516,0.022946,0.227398,-10.933648,-14.906696,-0.121697,0.004130,0.000795,5,14,2025-09-17,2025-10-02,2025-07-29,2025-09-12,1759363200000,1758067200000,1759363200000,1753747200000,1757635200000
