date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms
2025-05-29 07:00:00,2025-05-29,0.144619,0.018340,0.157510,0.061416,0.012746,0.215705,3.361075,1.134293,-0.058118,0.000000,0.000000,2,11,2025-05-14,2025-05-29,2025-03-25,2025-05-09,1748476800000,1747180800000,1748476800000,1742860800000,1746748800000
2025-06-08 07:00:00,2025-06-08,0.076717,0.009859,0.142304,0.062842,0.012158,0.201290,0.301856,-1.845941,-0.058986,0.050013,0.006546,5,12,2025-05-24,2025-06-08,2025-04-04,2025-05-19,1749340800000,1748044800000,1749340800000,1743724800000,1747612800000
2025-06-18 07:00:00,2025-06-18,0.061915,0.006844,0.122148,0.069763,0.012648,0.191566,-1.087348,-3.490385,-0.069419,0.030867,0.004073,6,11,2025-06-03,2025-06-18,2025-04-14,2025-05-29,1750204800000,1748908800000,1750204800000,1744588800000,1748476800000
2025-06-28 07:00:00,2025-06-28,0.064307,0.005892,0.111459,0.074544,0.012180,0.173223,-1.560541,-4.018773,-0.061764,0.030560,0.002885,4,12,2025-06-13,2025-06-28,2025-04-24,2025-06-08,1751068800000,1749772800000,1751068800000,1745452800000,1749340800000
2025-07-08 07:00:00,2025-07-08,0.090205,0.008483,0.109725,0.073937,0.010297,0.150239,0.251174,-1.554271,-0.040514,0.041874,0.004645,4,13,2025-06-23,2025-07-08,2025-05-04,2025-06-18,1751932800000,1750636800000,1751932800000,1746316800000,1750204800000
2025-07-18 07:00:00,2025-07-18,0.110916,0.010628,0.110294,0.069229,0.007360,0.116278,1.916511,1.558770,-0.005984,0.042364,0.004950,5,9,2025-07-03,2025-07-18,2025-05-14,2025-06-28,1752796800000,1751500800000,1752796800000,1747180800000,1751068800000
2025-07-28 07:00:00,2025-07-28,0.119292,0.013017,0.131499,0.074195,0.007442,0.108165,2.038413,2.485006,0.023334,0.040933,0.004635,4,12,2025-07-13,2025-07-28,2025-05-24,2025-07-08,1753660800000,1752364800000,1753660800000,1748044800000,1751932800000
2025-08-07 07:00:00,2025-08-07,0.085227,0.015870,0.214624,0.079003,0.007469,0.101745,0.389032,3.556929,0.112879,0.041151,0.006677,6,14,2025-07-23,2025-08-07,2025-06-03,2025-07-18,1754524800000,1753228800000,1754524800000,1748908800000,1752796800000
2025-08-17 07:00:00,2025-08-17,0.072813,0.015116,0.230705,0.091026,0.008831,0.104163,-0.899373,2.593547,0.126542,0.051607,0.007656,8,14,2025-08-02,2025-08-17,2025-06-13,2025-07-28,1755388800000,1754092800000,1755388800000,1749772800000,1753660800000
2025-08-27 07:00:00,2025-08-27,0.116995,0.015331,0.152592,0.092427,0.011284,0.130381,0.928318,1.307870,0.022211,0.051177,0.007060,6,15,2025-08-12,2025-08-27,2025-06-23,2025-08-07,1756252800000,1754956800000,1756252800000,1750636800000,1754524800000
2025-09-06 07:00:00,2025-09-06,0.109811,0.015503,0.163515,0.092403,0.013046,0.151047,0.571993,0.639137,0.012467,0.045752,0.006677,5,17,2025-08-22,2025-09-06,2025-07-03,2025-08-17,1757116800000,1755820800000,1757116800000,1751500800000,1755388800000
2025-09-16 07:00:00,2025-09-16,0.104346,0.012398,0.144107,0.093519,0.014380,0.167145,-0.005442,-1.051269,-0.023037,0.048930,0.005956,6,16,2025-09-01,2025-09-16,2025-07-13,2025-08-27,1757980800000,1756684800000,1757980800000,1752364800000,1756252800000
2025-09-18 07:00:00,2025-09-18,0.104346,0.012398,0.144107,0.093591,0.014515,0.167779,-0.021671,-1.109405,-0.023672,0.048930,0.005956,6,18,2025-09-03,2025-09-18,2025-07-15,2025-08-29,1758153600000,1756857600000,1758153600000,1752537600000,1756425600000
