date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,acq_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms,acq_local
2025-06-29,2025-07-02,0.106167,0.007350,0.078737,0.113716,0.012734,0.113115,-1.334070,-3.469326,-0.034378,0.045160,0.003051,3,8,2025-06-17,2025-07-02,2025-04-28,2025-06-12,1751414400000,1751195436000,1750118400000,1751414400000,1745798400000,1749686400000,2025-06-29
2025-07-11,2025-07-12,0.137413,0.011004,0.090755,0.105676,0.009175,0.094189,1.071760,0.747597,-0.003435,0.072411,0.006625,5,7,2025-06-27,2025-07-12,2025-05-08,2025-06-22,1752278400000,1752232237000,1750982400000,1752278400000,1746662400000,1750550400000,2025-07-11
2025-07-23,2025-07-22,0.140881,0.017046,0.149111,0.105401,0.007748,0.079191,1.508040,4.287079,0.069920,0.053042,0.006785,4,7,2025-07-07,2025-07-22,2025-05-18,2025-07-02,1753142400000,1753224269000,1751846400000,1753142400000,1747526400000,1751414400000,2025-07-23
2025-07-29,2025-08-01,0.122417,0.018645,0.189975,0.116553,0.009050,0.081354,0.011805,3.773418,0.108621,0.047427,0.007535,4,9,2025-07-17,2025-08-01,2025-05-28,2025-07-12,1754006400000,1753787525000,1752710400000,1754006400000,1748390400000,1752278400000,2025-07-29
2025-08-10,2025-08-11,0.081622,0.018327,0.244923,0.114350,0.010613,0.099199,-1.608640,2.445379,0.145725,0.039852,0.008653,5,9,2025-07-27,2025-08-11,2025-06-07,2025-07-22,1754870400000,1754824325000,1753574400000,1754870400000,1749254400000,1753142400000,2025-08-10
2025-08-22,2025-08-21,0.080236,0.014797,0.196097,0.120057,0.013269,0.122276,-1.983131,-0.178453,0.073821,0.042398,0.007453,5,10,2025-08-06,2025-08-21,2025-06-17,2025-08-01,1755734400000,1755816328000,1754438400000,1755734400000,1750118400000,1754006400000,2025-08-22
2025-08-28,2025-08-31,0.094786,0.012267,0.152231,0.105371,0.015047,0.154688,-0.886012,-1.839407,-0.002456,0.042053,0.005684,5,13,2025-08-16,2025-08-31,2025-06-27,2025-08-11,1756598400000,1756379439000,1755302400000,1756598400000,1750982400000,1754870400000,2025-08-28
2025-09-09,2025-09-10,0.104827,0.009995,0.104845,0.096491,0.015941,0.176518,-0.224592,-3.032584,-0.071672,0.057163,0.004888,5,13,2025-08-26,2025-09-10,2025-07-07,2025-08-21,1757462400000,1757416240000,1756166400000,1757462400000,1751846400000,1755734400000,2025-09-09
2025-09-21,2025-09-20,0.140483,0.011448,0.094040,0.088206,0.014981,0.178603,1.674925,-1.758854,-0.084563,0.060768,0.005222,5,14,2025-09-05,2025-09-20,2025-07-17,2025-08-31,1758326400000,1758408271000,1757030400000,1758326400000,1752710400000,1756598400000,2025-09-21
2025-09-27,2025-09-30,0.165444,0.013824,0.103811,0.086521,0.013028,0.156459,2.608407,0.257046,-0.052648,0.067778,0.005944,5,14,2025-09-15,2025-09-30,2025-07-27,2025-09-10,1759190400000,1758971525000,1757894400000,1759190400000,1753574400000,1757462400000,2025-09-27
2025-10-09,2025-10-10,0.172910,0.017240,0.128442,0.098977,0.011852,0.127959,2.367270,2.021958,0.000483,0.075947,0.009254,6,14,2025-09-25,2025-10-10,2025-08-06,2025-09-20,1760054400000,1760008326000,1758758400000,1760054400000,1754438400000,1758326400000,2025-10-09
2025-10-21,2025-10-20,0.158446,0.022744,0.184907,0.119279,0.011579,0.104838,1.173628,3.480108,0.080069,0.072931,0.010773,5,14,2025-10-05,2025-10-20,2025-08-16,2025-09-30,1760918400000,1761000329000,1759622400000,1760918400000,1755302400000,1759190400000,2025-10-21
2025-10-21,2025-10-21,0.160356,0.024739,0.191341,0.122513,0.011572,0.103096,1.219650,3.907813,0.088245,0.076188,0.014247,6,13,2025-10-06,2025-10-21,2025-08-17,2025-10-01,1761004800000,1761045125000,1759708800000,1761004800000,1755388800000,1759276800000,2025-10-21
