date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms
2025-05-29 07:00:00,2025-05-29,0.152186,0.019225,0.153190,0.056805,0.012301,0.225553,4.019974,1.588012,-0.072494,0.000000,0.000000,2,11,2025-05-14,2025-05-29,2025-03-25,2025-05-09,1748476800000,1747180800000,1748476800000,1742860800000,1746748800000
2025-06-08 07:00:00,2025-06-08,0.050942,0.006165,0.139208,0.059294,0.012606,0.221931,-1.181532,-3.824517,-0.082723,0.053472,0.006965,5,12,2025-05-24,2025-06-08,2025-04-04,2025-05-19,1749340800000,1748044800000,1749340800000,1743724800000,1747612800000
2025-06-18 07:00:00,2025-06-18,0.039263,0.004341,0.122164,0.069036,0.013758,0.210421,-2.940588,-5.561182,-0.088258,0.017343,0.002324,6,11,2025-06-03,2025-06-18,2025-04-14,2025-05-29,1750204800000,1748908800000,1750204800000,1744588800000,1748476800000
2025-06-28 07:00:00,2025-06-28,0.046459,0.004647,0.118933,0.069004,0.012693,0.193886,-2.436733,-4.988573,-0.074953,0.027125,0.002476,4,12,2025-06-13,2025-06-28,2025-04-24,2025-06-08,1751068800000,1749772800000,1751068800000,1745452800000,1749340800000
2025-07-08 07:00:00,2025-07-08,0.088642,0.007497,0.099251,0.061792,0.009891,0.171304,1.104718,-1.705836,-0.072052,0.044221,0.004887,4,13,2025-06-23,2025-07-08,2025-05-04,2025-06-18,1751932800000,1750636800000,1751932800000,1746316800000,1750204800000
2025-07-18 07:00:00,2025-07-18,0.117191,0.008980,0.088623,0.048430,0.005208,0.116412,3.559930,2.189790,-0.027789,0.045966,0.004887,5,9,2025-07-03,2025-07-18,2025-05-14,2025-06-28,1752796800000,1751500800000,1752796800000,1747180800000,1751068800000
2025-07-28 07:00:00,2025-07-28,0.141149,0.011833,0.098207,0.059163,0.005666,0.103455,3.750907,3.111840,-0.005248,0.046459,0.004523,4,12,2025-07-13,2025-07-28,2025-05-24,2025-07-08,1753660800000,1752364800000,1753660800000,1748044800000,1751932800000
2025-08-07 07:00:00,2025-08-07,0.105396,0.016741,0.178254,0.068585,0.005679,0.092241,1.981217,4.865937,0.086013,0.048721,0.007031,6,14,2025-07-23,2025-08-07,2025-06-03,2025-07-18,1754524800000,1753228800000,1754524800000,1748908800000,1752796800000
2025-08-17 07:00:00,2025-08-17,0.085729,0.015877,0.204618,0.094282,0.007609,0.088576,-0.279791,3.389462,0.116041,0.060775,0.007650,8,14,2025-08-02,2025-08-17,2025-06-13,2025-07-28,1755388800000,1754092800000,1755388800000,1749772800000,1753660800000
2025-08-27 07:00:00,2025-08-27,0.142367,0.015622,0.125386,0.102106,0.010539,0.110562,1.446588,1.764592,0.014824,0.056535,0.006494,6,15,2025-08-12,2025-08-27,2025-06-23,2025-08-07,1756252800000,1754956800000,1756252800000,1750636800000,1754524800000
2025-09-06 07:00:00,2025-09-06,0.133115,0.015408,0.135992,0.108060,0.012734,0.126229,0.763140,0.842876,0.009763,0.050940,0.006227,5,17,2025-08-22,2025-09-06,2025-07-03,2025-08-17,1757116800000,1755820800000,1757116800000,1751500800000,1755388800000
2025-09-16 07:00:00,2025-09-16,0.110398,0.014138,0.156481,0.113705,0.014457,0.137030,-0.581333,-0.356466,0.019452,0.050246,0.005837,6,16,2025-09-01,2025-09-16,2025-07-13,2025-08-27,1757980800000,1756684800000,1757980800000,1752364800000,1756252800000
2025-09-18 07:00:00,2025-09-18,0.110398,0.014138,0.156481,0.113918,0.014681,0.138291,-0.599994,-0.443104,0.018191,0.050246,0.005837,6,18,2025-09-03,2025-09-18,2025-07-15,2025-08-29,1758153600000,1756857600000,1758153600000,1752537600000,1756425600000
