date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms
2025-05-29 07:00:00,2025-05-29,0.157622,0.019345,0.148781,0.063688,0.014735,0.242614,3.706691,0.820849,-0.093832,,,1,11,2025-05-14,2025-05-29,2025-03-25,2025-05-09,1748476800000,1747180800000,1748476800000,1742860800000,1746748800000
2025-06-08 07:00:00,2025-06-08,0.061027,0.008648,0.157316,0.063731,0.014000,0.228822,-0.662398,-2.790519,-0.071506,0.055262,0.006740,3,11,2025-05-24,2025-06-08,2025-04-04,2025-05-19,1749340800000,1748044800000,1749340800000,1743724800000,1747612800000
2025-06-18 07:00:00,2025-06-18,0.044175,0.005164,0.128620,0.071517,0.014350,0.213159,-2.401960,-4.918879,-0.084539,0.025239,0.003270,4,9,2025-06-03,2025-06-18,2025-04-14,2025-05-29,1750204800000,1748908800000,1750204800000,1744588800000,1748476800000
2025-06-28 07:00:00,2025-06-28,0.048649,0.004174,0.106496,0.072751,0.013532,0.197005,-2.675453,-5.873387,-0.090509,0.025810,0.002040,3,9,2025-06-13,2025-06-28,2025-04-24,2025-06-08,1751068800000,1749772800000,1751068800000,1745452800000,1749340800000
2025-07-08 07:00:00,2025-07-08,0.076349,0.006436,0.099060,0.066776,0.010462,0.169404,-0.085997,-2.853406,-0.070344,0.040094,0.003929,3,9,2025-06-23,2025-07-08,2025-05-04,2025-06-18,1751932800000,1750636800000,1751932800000,1746316800000,1750204800000
2025-07-18 07:00:00,2025-07-18,0.092621,0.007906,0.092287,0.054685,0.005883,0.119385,1.992330,0.764523,-0.027099,0.041011,0.004429,4,6,2025-07-03,2025-07-18,2025-05-14,2025-06-28,1752796800000,1751500800000,1752796800000,1747180800000,1751068800000
2025-07-28 07:00:00,2025-07-28,0.119022,0.011619,0.107405,0.060982,0.005970,0.107727,3.014190,2.564675,-0.000322,0.041655,0.004319,3,8,2025-07-13,2025-07-28,2025-05-24,2025-07-08,1753660800000,1752364800000,1753660800000,1748044800000,1751932800000
2025-08-07 07:00:00,2025-08-07,0.082477,0.014543,0.198058,0.064030,0.005554,0.095531,1.331638,4.358318,0.102528,0.038449,0.006023,4,10,2025-07-23,2025-08-07,2025-06-03,2025-07-18,1754524800000,1753228800000,1754524800000,1748908800000,1752796800000
2025-08-17 07:00:00,2025-08-17,0.066483,0.012919,0.211984,0.077003,0.006641,0.090989,-0.389106,3.229309,0.120995,0.055612,0.006401,6,10,2025-08-02,2025-08-17,2025-06-13,2025-07-28,1755388800000,1754092800000,1755388800000,1749772800000,1753660800000
2025-08-27 07:00:00,2025-08-27,0.128902,0.013619,0.124736,0.082289,0.009386,0.116892,1.834740,1.746106,0.007844,0.053842,0.006446,5,11,2025-08-12,2025-08-27,2025-06-23,2025-08-07,1756252800000,1754956800000,1756252800000,1750636800000,1754524800000
2025-09-06 07:00:00,2025-09-06,0.117959,0.015050,0.147413,0.085287,0.010990,0.132761,1.283179,1.390678,0.014652,0.049385,0.006390,4,13,2025-08-22,2025-09-06,2025-07-03,2025-08-17,1757116800000,1755820800000,1757116800000,1751500800000,1755388800000
2025-09-16 07:00:00,2025-09-16,0.101844,0.012629,0.146462,0.093918,0.012819,0.146543,0.052722,-0.166329,-0.000082,0.049157,0.006113,5,13,2025-09-01,2025-09-16,2025-07-13,2025-08-27,1757980800000,1756684800000,1757980800000,1752364800000,1756252800000
2025-09-18 07:00:00,2025-09-18,0.101844,0.012629,0.146462,0.094284,0.012989,0.147671,0.022079,-0.248443,-0.001209,0.049157,0.006113,5,14,2025-09-03,2025-09-18,2025-07-15,2025-08-29,1758153600000,1756857600000,1758153600000,1752537600000,1756425600000
