date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,acq_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms,acq_local
2025-06-29,2025-07-01,0.059654,0.004936,0.094249,0.073230,0.013767,0.198480,-1.453176,-5.053288,-0.104231,0.030826,0.002696,6,11,2025-06-16,2025-07-01,2025-04-27,2025-06-11,1751328000000,1751195461000,1750032000000,1751328000000,1745712000000,1749600000000,2025-06-29
2025-07-11,2025-07-11,0.091775,0.007182,0.089138,0.053082,0.007065,0.142317,1.984767,-0.167521,-0.053178,0.045139,0.004850,7,11,2025-06-26,2025-07-11,2025-05-07,2025-06-21,1752192000000,1752232262000,1750896000000,1752192000000,1746576000000,1750464000000,2025-07-11
2025-07-17,2025-07-21,0.103355,0.008082,0.090262,0.055566,0.005370,0.106740,2.357940,1.420143,-0.016477,0.035161,0.003558,4,11,2025-07-06,2025-07-21,2025-05-17,2025-07-01,1753056000000,1752750725000,1751760000000,1753056000000,1747440000000,1751328000000,2025-07-17
2025-07-29,2025-07-31,0.123601,0.013025,0.115555,0.065345,0.005552,0.094992,3.021616,3.721301,0.020563,0.048458,0.006309,5,13,2025-07-16,2025-07-31,2025-05-27,2025-07-11,1753920000000,1753787525000,1752624000000,1753920000000,1748304000000,1752192000000,2025-07-29
2025-08-10,2025-08-10,0.073918,0.016141,0.252168,0.081960,0.006384,0.085698,-0.307537,4.378867,0.166471,0.038484,0.006839,6,11,2025-07-26,2025-08-10,2025-06-06,2025-07-21,1754784000000,1754824325000,1753488000000,1754784000000,1749168000000,1753056000000,2025-08-10
2025-08-16,2025-08-20,0.094335,0.014434,0.173891,0.090648,0.007994,0.092970,0.218649,2.768505,0.080921,0.058037,0.006594,5,15,2025-08-05,2025-08-20,2025-06-16,2025-07-31,1755648000000,1755342664000,1754352000000,1755648000000,1750032000000,1753920000000,2025-08-16
2025-08-28,2025-08-30,0.125448,0.015032,0.136537,0.088000,0.010958,0.130601,1.454986,1.461890,0.005936,0.052270,0.006977,8,17,2025-08-15,2025-08-30,2025-06-26,2025-08-10,1756512000000,1756379464000,1755216000000,1756512000000,1750896000000,1754784000000,2025-08-28
2025-09-09,2025-09-09,0.109256,0.014998,0.159880,0.096700,0.012437,0.136070,0.321522,0.743915,0.023810,0.047180,0.006469,7,16,2025-08-25,2025-09-09,2025-07-06,2025-08-20,1757376000000,1757416265000,1756080000000,1757376000000,1751760000000,1755648000000,2025-09-09
2025-09-15,2025-09-19,0.101027,0.014115,0.168569,0.102905,0.014113,0.147703,-0.502227,-0.292907,0.020866,0.036064,0.005590,5,18,2025-09-04,2025-09-19,2025-07-16,2025-08-30,1758240000000,1757934725000,1756944000000,1758240000000,1752624000000,1756512000000,2025-09-15
2025-09-27,2025-09-29,0.091010,0.013514,0.176375,0.100683,0.014629,0.159718,-0.773781,-0.699594,0.016657,0.042738,0.006021,7,18,2025-09-14,2025-09-29,2025-07-26,2025-09-09,1759104000000,1758971525000,1757808000000,1759104000000,1753488000000,1757376000000,2025-09-27
2025-10-09,2025-10-09,0.088661,0.013460,0.208308,0.104631,0.014071,0.151428,-1.194906,-0.410289,0.056881,0.048045,0.006152,7,16,2025-09-24,2025-10-09,2025-08-05,2025-09-19,1759968000000,1760008326000,1758672000000,1759968000000,1754352000000,1758240000000,2025-10-09
2025-10-15,2025-10-19,0.067845,0.013093,0.306427,0.103946,0.013654,0.144962,-2.881923,-0.417790,0.161465,0.029212,0.005232,5,19,2025-10-04,2025-10-19,2025-08-15,2025-09-29,1760832000000,1760526665000,1759536000000,1760832000000,1755216000000,1759104000000,2025-10-15
2025-10-21,2025-10-20,0.067052,0.013286,0.304616,0.102018,0.013571,0.147135,-2.730969,-0.303405,0.157481,0.034207,0.006055,6,18,2025-10-05,2025-10-20,2025-08-16,2025-09-30,1760918400000,1761000329000,1759622400000,1760918400000,1755302400000,1759190400000,2025-10-21
