date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,acq_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms,acq_local
2025-06-29,2025-07-02,0.051063,0.005125,0.117660,0.079587,0.013879,0.184082,-2.675567,-5.314229,-0.066422,0.023890,0.002665,3,8,2025-06-17,2025-07-02,2025-04-28,2025-06-12,1751414400000,1751195436000,1750118400000,1751414400000,1745798400000,1749686400000,2025-06-29
2025-07-11,2025-07-12,0.067072,0.005658,0.099178,0.058933,0.008773,0.156051,0.011902,-2.183167,-0.056873,0.036306,0.003996,5,7,2025-06-27,2025-07-12,2025-05-08,2025-06-22,1752278400000,1752232237000,1750982400000,1752278400000,1746662400000,1750550400000,2025-07-11
2025-07-23,2025-07-22,0.088462,0.007355,0.091009,0.054051,0.006067,0.121283,2.010809,0.749541,-0.030275,0.049674,0.004004,4,7,2025-07-07,2025-07-22,2025-05-18,2025-07-02,1753142400000,1753224269000,1751846400000,1753142400000,1747526400000,1751414400000,2025-07-23
2025-07-29,2025-08-01,0.115887,0.011385,0.108023,0.054781,0.005268,0.105477,3.499474,3.401901,0.002546,0.046606,0.005643,4,9,2025-07-17,2025-08-01,2025-05-28,2025-07-12,1754006400000,1753787525000,1752710400000,1754006400000,1748390400000,1752278400000,2025-07-29
2025-08-10,2025-08-11,0.066926,0.014340,0.251742,0.065972,0.005694,0.094490,0.177591,4.320786,0.157251,0.035439,0.006204,5,9,2025-07-27,2025-08-11,2025-06-07,2025-07-22,1754870400000,1754824325000,1753574400000,1754870400000,1749254400000,1753142400000,2025-08-10
2025-08-22,2025-08-21,0.097053,0.012753,0.155370,0.076736,0.007146,0.097424,1.039885,2.705092,0.057946,0.058997,0.006282,5,10,2025-08-06,2025-08-21,2025-06-17,2025-08-01,1755734400000,1755816328000,1754438400000,1755734400000,1750118400000,1754006400000,2025-08-22
2025-08-28,2025-08-31,0.116096,0.013746,0.140752,0.072889,0.009310,0.132966,1.925416,1.736705,0.007785,0.049206,0.006123,5,13,2025-08-16,2025-08-31,2025-06-27,2025-08-11,1756598400000,1756379439000,1755302400000,1756598400000,1750982400000,1754870400000,2025-08-28
2025-09-09,2025-09-10,0.108278,0.013785,0.150910,0.088263,0.011120,0.133040,0.694918,0.914509,0.017870,0.048994,0.006097,5,13,2025-08-26,2025-09-10,2025-07-07,2025-08-21,1757462400000,1757416240000,1756166400000,1757462400000,1751846400000,1755734400000,2025-09-09
2025-09-21,2025-09-20,0.109887,0.012456,0.141002,0.096706,0.012830,0.144042,0.031392,-0.387004,-0.003040,0.043835,0.005565,5,14,2025-09-05,2025-09-20,2025-07-17,2025-08-31,1758326400000,1758408271000,1757030400000,1758326400000,1752710400000,1756598400000,2025-09-21
2025-09-27,2025-09-30,0.108241,0.012696,0.146654,0.096674,0.013369,0.154271,-0.138482,-0.687165,-0.007617,0.041866,0.005409,5,14,2025-09-15,2025-09-30,2025-07-27,2025-09-10,1759190400000,1758971525000,1757894400000,1759190400000,1753574400000,1757462400000,2025-09-27
2025-10-09,2025-10-10,0.089804,0.013259,0.181405,0.104064,0.012786,0.140741,-1.057671,-0.303523,0.040665,0.051287,0.006019,6,14,2025-09-25,2025-10-10,2025-08-06,2025-09-20,1760054400000,1760008326000,1758758400000,1760054400000,1754438400000,1758326400000,2025-10-09
2025-10-21,2025-10-20,0.064938,0.012629,0.311319,0.109366,0.012524,0.133294,-3.213989,-0.350791,0.178025,0.032604,0.005578,5,14,2025-10-05,2025-10-20,2025-08-16,2025-09-30,1760918400000,1761000329000,1759622400000,1760918400000,1755302400000,1759190400000,2025-10-21
2025-10-21,2025-10-21,0.066749,0.013150,0.303246,0.108873,0.012749,0.137828,-2.912708,-0.156760,0.165418,0.034722,0.006371,6,13,2025-10-06,2025-10-21,2025-08-17,2025-10-01,1761004800000,1761045125000,1759708800000,1761004800000,1755388800000,1759276800000,2025-10-21
