date,date_local,S1_VV_CURR,S1_VH_CURR,S1_VH_VV_CURR,S1_VV_BASE,S1_VH_BASE,S1_VH_VV_BASE,S1_VV_LOGRATIO_DB,S1_VH_LOGRATIO_DB,S1_VH_VV_DIFF,S1_VV_STD,S1_VH_STD,S1_EVENT_COUNT,S1_BASE_COUNT,S1_EVENT_START_LOCAL,S1_EVENT_END_LOCAL,S1_BASE_START_LOCAL,S1_BASE_END_LOCAL,date_ms,acq_ms,evt_start_ms,evt_end_ms,base_start_ms,base_end_ms,acq_local
2025-06-29,2025-07-02,0.128047,0.011408,0.103011,0.072070,0.009404,0.142211,2.156781,0.276026,-0.039200,0.049079,0.005403,3,8,2025-06-17,2025-07-02,2025-04-28,2025-06-12,1751414400000,1751195461000,1750118400000,1751414400000,1745798400000,1749686400000,2025-06-29
2025-07-11,2025-07-12,0.141388,0.015696,0.131616,0.060319,0.005552,0.102585,3.452978,4.292276,0.029030,0.057755,0.007000,5,7,2025-06-27,2025-07-12,2025-05-08,2025-06-22,1752278400000,1752232262000,1750982400000,1752278400000,1746662400000,1750550400000,2025-07-11
2025-07-23,2025-07-22,0.137075,0.017779,0.154214,0.092209,0.007283,0.088168,1.629307,3.991307,0.066046,0.059642,0.006931,4,7,2025-07-07,2025-07-22,2025-05-18,2025-07-02,1753142400000,1753224269000,1751846400000,1753142400000,1747526400000,1751414400000,2025-07-23
2025-07-29,2025-08-01,0.120834,0.021068,0.209909,0.105171,0.009919,0.105537,0.497036,3.387990,0.104372,0.047251,0.007705,4,9,2025-07-17,2025-08-01,2025-05-28,2025-07-12,1754006400000,1753787525000,1752710400000,1754006400000,1748390400000,1752278400000,2025-07-29
2025-08-10,2025-08-11,0.084598,0.020751,0.279729,0.125453,0.014129,0.123812,-1.728090,1.847363,0.155918,0.038037,0.009010,5,9,2025-07-27,2025-08-11,2025-06-07,2025-07-22,1754870400000,1754824325000,1753574400000,1754870400000,1749254400000,1753142400000,2025-08-10
2025-08-22,2025-08-21,0.131933,0.025442,0.214320,0.124968,0.016559,0.147441,0.234419,1.893026,0.066878,0.076909,0.011292,5,10,2025-08-06,2025-08-21,2025-06-17,2025-08-01,1755734400000,1755816328000,1754438400000,1755734400000,1750118400000,1754006400000,2025-08-22
2025-08-28,2025-08-31,0.155498,0.027932,0.197104,0.108872,0.018166,0.185170,1.455428,1.719279,0.011934,0.064558,0.010890,5,13,2025-08-16,2025-08-31,2025-06-27,2025-08-11,1756598400000,1756379464000,1755302400000,1756598400000,1750982400000,1754870400000,2025-08-28
2025-09-09,2025-09-10,0.090023,0.012263,0.153998,0.112543,0.020583,0.200788,-1.554820,-3.221833,-0.046791,0.070485,0.013013,5,13,2025-08-26,2025-09-10,2025-07-07,2025-08-21,1757462400000,1757416265000,1756166400000,1757462400000,1751846400000,1755734400000,2025-09-09
2025-09-21,2025-09-20,0.043692,0.004434,0.111123,0.115588,0.022844,0.213500,-6.305681,-9.582154,-0.102377,0.023954,0.003190,5,14,2025-09-05,2025-09-20,2025-07-17,2025-08-31,1758326400000,1758408271000,1757030400000,1758326400000,1752710400000,1756598400000,2025-09-21
2025-09-27,2025-09-30,0.040114,0.004440,0.115059,0.104745,0.020991,0.215104,-6.245816,-9.410594,-0.100045,0.019644,0.002318,5,14,2025-09-15,2025-09-30,2025-07-27,2025-09-10,1759190400000,1758971525000,1757894400000,1759190400000,1753574400000,1757462400000,2025-09-27
2025-10-09,2025-10-10,0.050707,0.005198,0.126904,0.092289,0.017042,0.202584,-5.246479,-7.668406,-0.075680,0.026180,0.002709,6,14,2025-09-25,2025-10-10,2025-08-06,2025-09-20,1760054400000,1760008326000,1758758400000,1760054400000,1754438400000,1758326400000,2025-10-09
2025-10-21,2025-10-20,0.056264,0.005862,0.142576,0.054822,0.006972,0.136009,-1.606691,-2.084008,0.006567,0.026515,0.002830,5,14,2025-10-05,2025-10-20,2025-08-16,2025-09-30,1760918400000,1761000329000,1759622400000,1760918400000,1755302400000,1759190400000,2025-10-21
2025-10-21,2025-10-21,0.057930,0.006046,0.139722,0.051424,0.006354,0.132293,-1.008054,-1.270284,0.007429,0.027724,0.003045,6,13,2025-10-06,2025-10-21,2025-08-17,2025-10-01,1761004800000,1761045125000,1759708800000,1761004800000,1755388800000,1759276800000,2025-10-21
